,Question,Answer,Class
330,need mandatorily register,"Yes, to avail the offers and earn times points you need to register and activate the account.",1
331,personal accidental death cover time point debit card holder,Yes. There is an Accelerated insurance cover of 10 lacs in case of death due to by Air / Road / Rail. For more information and Terms and condition you are requested to visit www.M&N bank.com.,1
332,share call til identify,"Presently we do not have Tele service. You are requested to write to us for any query, request or complain to [email protected]",1
333,able avail merchant offer,"Do not worry if you are not able to avail the offers at your disposal. Any issue related merchant or code not working or bar code not getting read, just write to [email protected]",1
334,exclusive benefit come time points debit card,The Times Points Debit Card also provides exclusive discounts of minimum 10% throughout the year. These offers can be availed at merchant establishment.,1
335,register time point program happen exist time point d apply time point debit card,"If the e-mail address in your existing times point account, and the one given to M&N  Bank is same, then all the Times Points earned through debit card transactions will be credited to existing Times Point account. In case of different e-mail addresses, a new Times Point account will be registered using the e-mail ID given to M&N  bank.",1
336,forget atm pin,You can call the M&N  bank PhoneBanking to request for re-issuance of PIN or place a request through Prepaid NetBanking. A new PIN will be sent across to your registered mailing address held on record with the bank.,1
337,check balance mn bank forexplus card,"You can check the balance on ForexPlus card with the help of NetBanking facility. You will need to use the card number as user ID & IPIN issued to you as part of the card kit to login to NetBanking facility. Alternately, you can also contact our PhoneBanking services to check the balance on your ForexPlus card.",1
338,purchase forexplus card,"ForexPlus card can only be used for making payments outside India except for Nepal & Bhutan. Whenever the cardholder is using his card he must be present at the place of transaction & need to sign the chargeslips. Thus, we issue ForexPlus card to customers travelling abroad basis valid documentation proof.",1
339,load forexplus card make payment cash,"No, ForexPlus card cannot be loaded against payment of cash.",1
340,know atm accept forexplus card,ForexPlus cards are accepted at Visa / MasterCard ATMs. Please look out for the VISA/PLUS/MasterCard logo while searching for ATM.,1
341,document submit purchase mn bank forexplus card,"M&N  Bank Savings / Current account holders need to just submit completed application form, copy of ticket or the Visa and form A2 (or any other documentation as mandated under prevalant FEMA guidelines)If you don't have M&N  Bank Savings / Current account, you need to submit completed application form, copyof ticket or the Visa and form A2 (or any other Forex documentation as mandated under prevalant FEMA guidelines) as well as a Photocopy of your valid Passport.",1
342,card work,"Your M&N  Bank ForexPlus card will be activated with the required AUD / AED / CAD / CHF/ Euro / GBP / JPY / SGD and USD within 4 hours from the bank getting the clear funds from you. Once actived, the card can be used at any international location for making payments at POS terminals or to withdraw cash at ATMs. (Usage of the card is not allowed in India, Nepal and Bhutan.) M&N  Bank ForexPlus card works just like any Debit / Credit Card for making payments at Merchant Establishments that have an electronic terminal. The transaction amount is deducted from available balance on the ForexPlus card. M&N  Bank ForexPlus card is accepted at all Merchant Establishments displaying the Visa / Mastercard symbol. The card can be used to withdraw cash at all Visa / Mastercard ATMs worldwide. Irrespective of the currency loaded on the card, the cash will be dispensed based on the currencies supported at the ATMs. Please ensure that you remember the PIN given to you with the card pack, the PIN is unique for every card and cannot be changed at any domestic or international ATM. View more",1
343,use dcc mcc option time transaction,"Whenever ForexPlus cardholder opts for DCC/MCC option on DCC/MCC enabled POS/ATM terminals, his/her transaction passes through cross currency transactions twice. It is not advisable for a ForexPlus cardholder to opt for DCC/MCC while using ForexPlus card for making payments. Please note that every cross currency transaction attracts currency conversion charges at applicable rates. Apart from this, the cardholder will also get penalised due to fluctuation in currency conversion rate. View more",1
344,need pay additional cash withdrawal charge levy mn bank atm transaction,"In certain countires ATM Service providers are authorized to charge surcharge/convenience fees from the cardholders for accessing the ATM to withdraw money. These charges are levied by the ATM service provider over and above the charges levied by the M&N  Bank, and M&N  Bank bank has no control over the charges as these charges are not levied by the bank. These charges are normally displayed to the customer during the transaction and the customer has the option to either proceed with the transaction or abort if the charges are not acceptable to the customer. View more",1
345,currency available,There are ten currencies offered: Australian Dollar (AUD) Dirhams (AED) Canadian Dollar (CAD) Euro (EUR) Japanese Yen (JPY) Singapore Dollars (SGD) Sterling Pound (GBP) Swedish Krona (SEK) Swiss Franc (CHF) US Dollar (USD) View more,1
346,card,"ForexPlus card is available over the counter at M&N  Bank branches. You simply need to walk into our branch with required documentation and walk out with ForexPlus card. The card will get activated within 4 hours from realization of funds. Alternatively, the customer can apply for card through NetBanking login also.In case the customer applies the card through NetBanking the card will be delivered to the customer within 2 working days. This facility is available at select locations only.",1
347,soon card purchase,Your card will be activated & loaded with required currency within 4 hours from the bank having received clear funds from you. The card will beready for use post activation.,1
348,cancel forex plus card,"To cancel your Forex Plus Card, we request you to contact the PhoneBanking team or walk into your nearest M&N  Bank branch and place a request towards cancellation. Your request will be processed within one working day of us receiving the request. There are no charges towards the cancellation of a Forex Plus card. However, currency conversion tax as applicable from time to time will be deducted at the time of providing credit to you. Kindly visit the following URL to access information for the complete address and contact details of our Branches and PhoneBanking centers: View more",1
349,activate ecommerce card,Follow 2 simple steps: Step 1: Log on to Prepaid Card Net Banking. Step 2: Enable your e-commerce transaction facility to make purchases.,1
350,topup value card abroad,ForexPlus card can also be loaded on your behalf by someone authorized by you. Authorised person has to visit M&N  Bank branch with the necessary documents and funds. Weâ€™ll take care of the rest.,1
351,contact card lose steal,Immediately report the loss of your M&N  Bank ForexPlus Card by calling M&N  Bank PhoneBanking. You will not be liable for transactions on your Card Account (if any) from the moment your report is registered with the bank. Alternately you can hotlist the card with the help of Prepaid NetBanking facility.,1
352,mn bank forexplus card,"M&N  Bank ForexPlus card is a magnetic strip based prepaid card introduced in partnership with Visa / Mastercard International. The card offers you a convenient and secure way to carry forex. This card offers you the freedom to shop anywhere in the world and provides access to the currency of your destination at competitive market rates. It can be used at all Visa / Mastercard ATMs and Merchant establishment worldwide. This card cannot be used for making payments in India, Nepal or Bhutan.",1
353,maximum value card,"There is no limit imposed on the usage of ForexPlus Card. Customer's can withdraw/utilise any amount, upto the value loaded on ForexPlus card at any ATM/POS. However, there are some ATMs service providers which have put in per day / per transaction limit towards cash dispense which cannot be changed by the Bank. In such cases the cardholder might need to do multiple transactions if he wants to withdraw any amount higher than that allowed in one transaction.",1
354,renew passport new number need update new passport number forexplus card,"Yes, We request you to get in touch with nearby branch along with original & copy of your passport to get the new passport number updated in the bank's records. Passport number is key validation criteria to check caller authenticity when you contact our 24 x 7 PhoneBanking service, hence it is recommended to update Passport number at the earliest.",1
355,dcc mcc stand,DCC stands for Dynamic Currency Conversion whereas MCC stands for Multiple Currency Conversoin. DCC / MCC at ATM / POS gives the cardholder an option to initiate a transaction in the currency of his choice. It also assists the cardholder to know the exact transaction value in the currency selected at the time of transaction.,1
356,need mn bank account purchase mn bank forexplus card,"No, you don't need to have an account with M&N  Bank to purchase the ForexPlus card. You can just walk into any of our M&N  bank branches in India and purchase it over the counter on submission of relevant KYC documents.",1
357,happen card lose,"In case your card gets lost or stolen, all you have to do is call M&N  Bank 24x7 PhoneBanking immediately and report the loss of your card. The card can also be hotlisted using our Prepaid NetBanking facility In case you have opted for a back-up card, then you can request to activate back-up card and transfer balance on your hotlisted card to the back-up card. Balance transfer will be carried out instantaneously.",1
358,day advance purchase foreign exchange,You can purchase foreign exchange up to 60 days in advance from the date of departure.,1
359,foreign exchange retain foreign trip,"After returning from the overseas trip, you are required to surrender unspent foreign exchange held by you within 180 days of return. You can retain foreign exchange up to USD 2,000 (or equivalent) for future use after returning back to India.",1
360,value card top,"Yes, your ForexPlus Card can be reloaded multiple times in future till the card gets expired: You can authorize the Bank to debit your M&N  Bank account by giving an M&N  Bank cheque or make payment using a local cheque drawn on M&N  Bank and reload the card for desired value. Reload requests can be made by any authorized person on your behalf. The person authorised by you for the same will need to come to bank branch and will need to provide the necessary documents to the bank to carry out reload. On receipt of the application form and the funds, your card will get reloaded for the desired amount. M&N  Bank customers can also place a request to reload the card through M&N  Bank PhoneBanking services. Incase the Card is issued by your corporate/employer, reload requests received through them will be acted upon by M&N  Bank. View more",1
361,forget activation code ipin,"Incase you have forgotten your Activation Code/IPIN, you are requested to kindly call M&N  Bank PhoneBanking and place in a new request for IPIN, which will be sent instantly to your registered Email ID / Mobile number.",1
362,maximum value card,"There is no limit imposed on the usage of ForexPlus card. Customer's can withdraw/utilise any amount, upto the value loaded on card at any ATM/POS. However, there are some ATMs service providers which have put in per day / per transaction limit towards cash dispense which cannot be changed by the Bank. In such cases the cardholder might need to do multiple transactions if he wants to withdraw any amount higher than that allowed in one transaction.",1
363,currency conversion service tax applicable time load reload refund,"Following are the currency conversion service tax slabs applicable at the time of Load, Reload and Refund: Buy and Sell Forex Currency Service Tax Amount Up to Rs. 1 lakh 0.14% of the gross value or Rs. 35/- whichever is higher From Rs. 1 lakh to Rs 10 Lakhs Rs. 140 plus 0.07% of the amount exceeding Rs. 1 lakh From Rs. 10 lakhs and above Rs. 770 plus 0.014% of the amount exceeding Rs. 10 Lakhs, subject to a maximum of Rs. 7000",1
364,currency available,There are three currencies offered: Euro (EUR) Sterling Pound (GBP) US Dollar (USD),1
365,know atm accept forexplus chip card,ForexPlus Chip cards are accepted at Visa / MasterCard ATMs. Please look out for the VISA/PLUS/MasterCard logo while searching for ATM.,1
366,document submit purchase mn bank forexplus chip card,"M&N  Bank Savings / Current account holders need to just submit completed application form, copy of ticket or the Visa and form A2 (or any other documentation as mandated under prevalant FEMA guidelines) If you don't have M&N  Bank Savings / Current account, you need to submit completed application form, copy of ticket or the Visa and form A2 (or any other Forex documentation as mandated under prevalant FEMA guidelines) as well as a Photocopy of your valid Passport.",1
367,card,"ForexPlus Chip card is available over the counter at M&N  Bank branches. You simply need to walk into our branch with required documentation and walk out with ForexPlus Chip card. The card will get activated within 4 hours from realization of funds. Alternatively, the customer can apply for card through NetBanking login also.In case the customer applies the card through NetBanking the card will be delivered to the customer within 2 working days. This facility is available at select locations only.",1
368,soon card purchase,Your card will be activated & loaded with required currency within 4 hours from the bank having received clear funds from you. The card will be ready for use post activation.,1
369,renew passport new number need update new passport number forexplus chip card,"Yes, We request you to get in touch with nearby branch along with original & copy of your passport to get the new passport number updated in the bank's records. Passport number is key validation criteria to check caller authenticity when you contact our 24 x 7 PhoneBanking service, hence it is recommended to update Passport number at the earliest.",1
370,maximum value card,"There is no limit imposed on the usage of ForexPlus Chip Card. Customer's can withdraw/utilise any amount, upto the value loaded on ForexPlus Chip card at any ATM/POS. However, there are some ATMs service providers which have put in per day / per transaction limit towards cash dispense which cannot be changed by the Bank. In such cases the cardholder might need to do multiple transactions if he wants to withdraw any amount higher than that allowed in one transaction.",1
371,transaction card,"Yes, your ForexPlus Chip card should not be used towards temporary charge blocks - e.g. paying deposits at hotels, hiring of cars etc. Incase you have paid these deposits using ForexPlus Chip card and the hotel/car rental agency etc. settles the transaction for an amount lesser than the amount blocked or you make final payment through any different mode, the balance amount will get credited into your account only after 35 days from the transaction date. Note: the Bank reserves the right to charge the Card holder for any unauthorized amounts.",1
372,non traveller purchase forexplus chip card,"No, ForexPlus Chip Card can only be issued to Travellers. ForexPlus Card is valid for making payments in countries other than India, Nepal & Bhutan. Whenever the cardholder is using his card he must be present at the place of transaction & need to sign the chargeslips. If the cardholder is a non - traveller he can not be present at the time of transaction processing, hence ForexPlus Chip Card can not be issued to a Non- traveller.",1
373,load forexplus chip card make payment cash,"No, ForexPlus Chip card cannot be loaded against payment of cash.",1
374,contact card lose steal,Immediately report the loss of your ForexPlus Chip Card by calling M&N  Bank PhoneBanking. You will not be liable for transactions on your Card Account (if any) from the moment your report is registered with the bank. Alternately you can hotlist the card with the help of Prepaid NetBanking facility.,1
375,use dcc mcc option time transaction,"Whenever ForexPlus cardholder opts for DCC/MCC option on DCC/MCC enabled POS/ATM terminals, his/her transaction passes through cross currency transactions twice. It is not advisable for a ForexPlus cardholder to opt for DCC/MCC while using ForexPlus Chip card for making payments. Please note that every cross currency transaction attracts currency conversion charges at applicable rates. Apart from this, the cardholder will also get penalised due to fluctuation in currency conversion rate.",1
376,issue cheque loading forexplus chip card,"Customer can load ForexPlus Chip card by issuance of cheque against the amount to be loaded. However, cards will be loaded post realisation of the cheque deposited by the customer. The exchange rate applicable will be for the day on which funds are realized and card is activated",1
377,atm pin change,"No, the ATM PIN cannot be changed at the ATM. In case you have forgotten or lost the PIN, you will need to request for a new PIN with the help of PhoneBanking or thorugh Prepaid NetBanking.",1
378,mn bank forexplus chip card,"M&N  Bank ForexPlus Chip card is a magnetic strip based prepaid card introduced in partnership with Visa / Mastercard International. The card offers you a convenient and secure way to carry forex. This card offers you the freedom to shop anywhere in the world and provides access to the currency of your destination at competitive market rates. It can be used at all Visa / Mastercard ATMs and Merchant establishment worldwide. This card cannot be used for making payments in India, Nepal or Bhutan.",1
379,activate ecommerce,Just log on to NetBanking and enable your e-commerce transaction facility.,1
380,cancel forexplus chip card,"To cancel your Forex Plus Chip Card, we request you to contact the PhoneBanking team or walk into your nearest M&N  Bank branch and place a request towards cancellation. Your request will be processed within one working day of us receiving the request. There are no charges towards the cancellation of a Forex Plus Chip card. However, currency conversion tax as applicable from time to time will be deducted at the time of providing credit to you. Kindly visit the following URL to access information for the complete address and contact details of our Branches and PhoneBanking centers:",1
381,topup value card abroad,ForexPlus Chip card can also be loaded on your behalf by someone authorized by you. Authorised person has to visit M&N  Bank branch with the necessary documents and funds. Weâ€™ll take care of the rest.,1
382,check balance mn bank forexplus chip card,"You can check the balance on ForexPlus Chip card with the help of NetBanking facility. You will need to use the card number as user ID & IPIN issued to you as part of the card kit to login to NetBanking facility. Alternately, you can also contact our PhoneBanking services to check the balance on your ForexPlus card.",1
383,need mn bank account purchase mn bank forexplus chip card,"No, you don't need to have an account with M&N  Bank to purchase the ForexPlus Chip card. You can just walk into any of our M&N  bank branches in India and purchase it over the counter on submission of relevant KYC documents.",1
384,value card top,"Yes, your ForexPlus Chip Card can be reloaded multiple times in future till the card gets expired: You can authorize the Bank to debit your M&N  Bank account by giving an M&N  Bank cheque or make payment using a local cheque drawn on M&N  Bank and reload the card for desired value. Reload requests can be made by any authorized person on your behalf. The person authorised by you for the same will need to come to bank branch and will need to provide the necessary documents to the bank to carry out reload. On receipt of the application form and the funds, your card will get reloaded for the desired amount. M&N  Bank customers can also place a request to reload the card through M&N  Bank PhoneBanking services. Incase the Card is issued by your corporate/employer, reload requests received through them will be acted upon by M&N  Bank.",1
385,use dcc mcc option time transaction,"Whenever ForexPlus Chip Cardholder opts for DCC/MCC option on DCC/MCC enabled POS/ATM terminals, his/her transaction passes through cross currency transactions twice. It is not advisable for a ForexPlus Chip Cardholder to opt for DCC/MCC while using ForexPlus Platinum card for making payments. Please note that every cross currency transaction attracts currency conversion charges at applicable rates. Apart from this, the cardholder will also get penalised due to fluctuation in currency conversion rate.",1
386,happen card lose,"In case your card gets lost or stolen, all you have to do is call M&N  Bank PhoneBanking immediately and report the loss of your card. This facility is available 24 hrs. on all days. In case if you have been issued a back-up card in the kit, you can activate the back-up card by calling M&N  Bank Phone Banking or through Prepaid NetBanking. Once the back-up card is activated, all the funds from primary card will be transferred automatically to the back up card.",1
387,cancel forex plus card,"To cancel your ForexPlus Chip Card, we request you visit our your nearest M&N  Bank branch and place a request towards cancellation the of the card. Your request will be processed within one working day of us receiving the request and the available balance on the card will be refunded back to your account. Incase you do not have an account with us then a demand draft shall be issued for the respective refund amount. There are no charges towards the cancellation of a ForexPlus Chip Card. However, currency conversion tax as applicable from time to time will be deducted at the time of providing credit to you. Kindly visit the following URL to access information for the complete address and contact details of our Branches and PhoneBanking centers:",1
388,traveller benefit forexplus chip card,"The ForexPlus Chip Card is only for travellers, and cannot be issued to non-travellers",1
389,forget activation code ipin,"Incase you have forgotten your Activation Code/IPIN, you are requested to kindly call M&N  Bank PhoneBanking and place in a new request for IPIN, which will be sent instantly to your registered Email ID / Mobile number.",1
390,load forexplus chip card make payment cash,"No, ForexPlus Chip Card cannot be loaded against payment of cash.",1
391,renew passport new number need update new passport number forexplus platinum card,"Yes, We request you to get in touch with nearby branch along with original & copy of your passport to get the new passport number updated in the bank's records. Passport number is key validation criteria to check caller authenticity when you contact our 24 x 7 PhoneBanking service, hence it is recommended to update Passport number at the earliest.",1
392,currency available,There are five currencies offered: Euro (EUR) Sterling Pound (GBP) US Dollar (USD) Thailand Baht (THB) HongKong Dollar (HKD),1
393,mn bank forexplus platinum chip card,"M&N  Bank ForexPlus Platinum (Chip) card is an embedded chip based Prepaid card introduced in partnership with VISA International. It offers you a convenient and secure way to carry your Forex. This card gives you the freedom to shop anywhere in the world and provides access to the currency of your destination at competitive market rates. It can be used at all VISA ATMs and Merchant Establishments worldwide. This card cannot be used for payments in India, Nepal or Bhutan.",1
394,topup value card abroad,ForexPlus Platinum card can also be loaded on your behalf by someone authorized by you. Authorised person has to visit M&N  Bank branch with the necessary documents and funds. Weâ€™ll take care of the rest.,1
395,need pay additional cash withdrawal charge levy mn bank atm transaction,"In certain countires ATM Service providers are authorized to charge surcharge/convenience fees from the cardholders for accessing the ATM to withdraw money. These charges are levied by the ATM service provider over and above the charges levied by the M&N  Bank, and M&N  Bank bank has no control over the charges as these charges are not levied by the bank.These charges are normally displayed to the customer during the transaction and the customer has the option to either proceed with the transaction or abort if the charges are not acceptable to the customer.",1
396,contact card lose steal,Immediately report the loss of your ForexPlus Platinum Card by calling M&N  Bank PhoneBanking. You will not be liable for transactions on your Card Account (if any) from the moment your report is registered with the bank. Alternately you can hotlist the card with the help of Prepaid NetBanking facility.,1
397,currency available mn bank forexplus platinum card,"The M&N  Bank ForexPlus Platinum card is currently available in 5 currencies, i.e. USD, Euro, GBP, HKD and THB.",1
398,need mn bank account purchase mn bank forexplus platinum card,"No, you don't need to have an account with M&N  Bank to purchase the ForexPlus Chip card. You can just walk into any of our M&N  bank branches in India and purchase it over the counter on submission of relevant KYC documents.",1
399,maximum value card,"There is no limit imposed on the usage of ForexPlus Platinum Card. Customer's can withdraw/utilise any amount, upto the value loaded on ForexPlus Platinum card at any ATM/POS. However, there are some ATMs service providers which have put in per day / per transaction limit towards cash dispense which cannot be changed by the Bank. In such cases the cardholder might need to do multiple transactions if he wants to withdraw any amount higher than that allowed in one transaction.",1
400,need know mn bank forexplus platinum card,"Embedded with a chip, this ForexPlus card offers you a convenient and secure way to carry your Forex. With the M&N  Bank ForexPlus Platinum card you can shop anywhere in the world.",1
401,nontraveller purchase forexplus card,"No. ForexPlus Cards can only be issued to travellers. A ForexPlus Card is valid for making payments in countries other India, Nepal and Bhutan whenever you are using your card you must be present at the place of transaction and have to sign the charge slips. As you are a non-traveller you cannot be present at the time of the transaction processing. Hence, ForexPlus Platinum Cards cannot be issued to non-travellers.",1
402,check balance mn bank forexplus platinum card,"You can check the balance on ForexPlus Platinum card with the help of NetBanking facility. You will need to use the card number as user ID & IPIN issued to you as part of the card kit to login to NetBanking facility. Alternately, you can also contact our PhoneBanking services to check the balance on your ForexPlus card.",1
403,contact card lose steal,Immediately report the loss of your M&N  Bank ForexPlus Platinum Card by calling M&N  Bank Phone Banking. You will not be liable for transactions on your Card Account (if any) from the moment your report is registered with the bank.,1
404,need pay charge avail gcas,"In case you avail of GCAS services, charges as per Visa Guidelines will be charged to you. Details of charges are as follows: Reporting Lost/ Stolen Card : Nil Emergency Replacement of Card : USD 25 Emergency Cash Requirement : USD 25 View more",1
405,cancel forexplus platinum card,"To cancel your Forex Plus Platinum Card, we request you to contact the PhoneBanking team or walk into your nearest M&N  Bank branch and place a request towards cancellation. Your request will be processed within one working day of us receiving the request. There are no charges towards the cancellation of a Forex Plus Platinum card. However, currency conversion tax as applicable from time to time will be deducted at the time of providing credit to you. Kindly visit the following URL to access information for the complete address and contact details of our Branches and PhoneBanking centers",1
406,card work,"Your M&N  Bank ForexPlus Platinum card will be activated with the required Euro / GBP and USD within 4 hours from the bank getting the clear funds from you. Once actived, the card can be used at any international location for making payments at POS terminals or to withdraw cash at ATMs. (Usage of the card is not allowed in India, Nepal and Bhutan.) M&N  Bank ForexPlus Platinum card works just like any Debit / Credit Card for making payments at Merchant Establishments that have an electronic terminal. The transaction amount is deducted from available balance on the ForexPlus card. M&N  Bank ForexPlus Platinum card is accepted at all Merchant Establishments displaying the Visa / Mastercard symbol. The card can be used to withdraw cash at all Visa / Mastercard ATMs worldwide. Irrespective of the currency loaded on the card, the cash will be dispensed based on the currencies supported at the ATMs. Please ensure that you remember the PIN given to you with the card pack, the PIN is unique for every card and cannot be changed at any domestic or international ATM. View more",1
407,transaction card,"Yes, your ForexPlus card should not be used towards temporary charge blocks - e.g. paying deposits at hotels, hiring of cars etc. Incase you have paid these deposits using ForexPlus card and the hotel/car rental agency etc. settles the transaction for an amount lesser than the amount blocked or you make final payment through any different mode, the balance amount will get credited into your account only after 30 days from the transaction date. Note: the Bank reserves the right to charge the Card holder for any unauthorized amounts.",1
408,issue cheque loading forexplus platinum card,"Customer can load ForexPlus Platinum card by issuance of cheque against the amount to be loaded. However, cards will be loaded post realisation of the cheque deposited by the customer. The exchange rate applicable will be for the day on which funds are realized and card is activated",1
409,service avail gcas,You can avail the following services through GCAS: a) Report loss of card or hotlist your card b) Request for a Replacement Card c) Request for the requirement of Emergency cash View more,1
410,atm pin change,"No, the ATM PIN cannot be changed at the ATM. In case you have forgotten or lost the PIN, you will need to request for a new PIN with the help of PhoneBanking or thorugh Prepaid NetBanking",1
411,use dcc mcc option time transaction,"Whenever ForexPlus cardholder opts for DCC/MCC option on DCC/MCC enabled POS/ATM terminals, his/her transaction passes through cross currency transactions twice. It is not advisable for a ForexPlus cardholder to opt for DCC/MCC while using ForexPlus Platinum card for making payments. Please note that every cross currency transaction attracts currency conversion charges at applicable rates. Apart from this, the cardholder will also get penalised due to fluctuation in currency conversion rate.",1
412,know atms accept mn bank forexplus platinum card,All ATMs displaying the VISA Logo will accept the M&N  Bank ForexPlus Platinum Card.,1
413,avail global customer assistance service gcas forexplus platinum card,You can call the VISA call centre numbers to avail the services available on Global Customer Assistance Services. Click here for Country wise Visa Call Centre numbers.,1
414,know atm accept forexplus platinum card,ForexPlus Platinum cards are accepted at Visa ATMs. Please look out for the VISA/PLUS logo while searching for ATM.,1
415,load forex card make payment cash,"No, Forex card can not be loaded against payment of cash. In case existing bank customer need to load his/her forex card by making payment in Cash then, the customer need to deposit cash in his/her account and then issue cheque or debit instruction to load the card.",1
416,document submit purchase mn bank forexplus platinum card,"M&N  Bank Savings / Current account holders need to just submit completed application form, copy of ticket or the Visa and form A2 (or any other documentation as mandated under prevalant FEMA guidelines) If you don't have M&N  Bank Savings / Current account, you need to submit completed application form, copyof ticket or the Visa and form A2 (or any other Forex documentation as mandated under prevalant FEMA guidelines) as well as a Photocopy of your valid Passport.",1
417,card,"ForexPlus Platinum card is available over the counter at M&N  Bank branches. You simply need to walk into our branch with required documentation and walk out with ForexPlus Platinum card. The card will get activated within 4 hours from realization of funds. Alternatively, the customer can apply for card through NetBanking login also.In case the customer applies the card through NetBanking the card will be delivered to the customer within 2 working days. This facility is available at select locations only.",1
418,happen card lose,"In case your card gets lost or stolen, all you have to do is call M&N  Bank 24x7 PhoneBanking immediately and report the loss of your card. The card can also be hotlisted using our Prepaid NetBanking facilityIn case you have opted for a back-up card, then you can request to activate back-up card and transfer balance on your hotlisted card to the back-up card. Balance transfer will be carried out instantaneously.",1
419,load forexplus platinum card make payment cash,"No, ForexPlus Platinum card cannot be loaded against payment of cash.",1
420,purchase forexplus platinum card,"ForexPlus Platinum card can only be used for making payments outside India except for Nepal & Bhutan. Whenever the cardholder is using his card he must be present at the place of transaction & need to sign the chargeslips. Thus, we issue ForexPlus Chip card to customers travelling abroad basis valid documentation proof.",1
421,value card top,"Yes, your ForexPlus Platinum Card can be reloaded multiple times in future till the card gets expired: You can authorize the Bank to debit your M&N  Bank account by giving an M&N  Bank cheque or make payment using a local cheque drawn on M&N  Bank and reload the card for desired value. Reload requests can be made by any authorized person on your behalf. The person authorised by you for the same will need to come to bank branch and will need to provide the necessary documents to the bank to carry out reload. On receipt of the application form and the funds, your card will get reloaded for the desired amount. M&N  Bank customers can also place a request to reload the card through M&N  Bank PhoneBanking services. Incase the Card is issued by your corporate/employer, reload requests received through them will be acted upon by M&N  Bank.",1
422,value top,GiftPlus cards are non reloadable in nature and hence cannot be topped up.,1
423,purchase mn bank giftplus card,"GiftPlus cards are available in all M&N  bank branches. You can also purchase GiftPlus card online, through our NetBanking service.Detailed steps for online purchase is mentioned below:Log on NetBanking.Go to Accounts section and select Purchase Gift Card.GiftPlus Card can be personalised with the beneficiary name as provided by you. You will need to have Financial rights (TPT) for this transaction.",1
424,load giftplus card make payment cash,"No, GiftPlus card cannot be loaded against payment of cash. GiftPlus card can be loaded by way of a Direct debit to your M&N  Bank account, local cheque drawn on M&N  Bank or demand draft",1
425,value card top,Gifting we believe is special to the occasion and hence you cannot reload this card. Every occasion is a new occasion and deserves a new card.,1
426,soon gitfplus card,"In our bank branches, GiftPlus Card can be availed of from over the counter. These cards however are non-personalised. If a personalised card is requested online or at any branch, the TAT is 5-7 working days.The convenience of online purchase is that the card will be delivered to the address specified in your instructions",1
427,gift plus card outside india,"GiftPlus Card is a INR Prepaid card, which can be used only in India.",1
428,fee levy use card,"No, there is no charge on the usage of the card. However, there are charges for reissuance.Any Surcharge on account of card usage would be applicable on this card and is Nonrefundable by Bank",1
429,soon use card purchase,"Your card will be activated with the loaded amount within a few hours after the bank has received clear funds from you. Once activated, the card is ready for use.",1
430,document submit purchase mn bank giftplus card,If you are an existing M&N  Bank Current or Savings Account holder then you just need to submit the Giftplus card application form. If you are not an existing M&N  Bank Current or Savings Account holder then you need to submit the Giftplus card application form along with your ID proof and address proof.,1
431,load limit,"Yes, a card balance cannot be more than Rs. 50,000 at any given point in time.",1
432,charge card,The usage of the card is not charged but the reissuance of the card is charged Rs. 100 per reissuance.,1
433,forget atm pin,You can call your local M&N  bank PhoneBanking number and ask for a new PIN to be reissued to you. The PIN however will be delivered to the purchaser's address with the bank. You can request for a new PIN over the Internet through your Giftplus card account.,1
434,contact card lose steal,"In case your card gets lost or stolen, all you have to do is call M&N  Bank PhoneBanking immediately and report the loss of your card. This facility is available 24 hrs. on all days. The card can also be hotlisted using our Prepaid card NetBanking facility on www.M&N bank.com. A new Card will be issued and the residual balance on your hotlisted Card will be transferred to your new Card.New card will be issued only basis the request received from the purchaser.The request for balance transfer from old card to new card will be honored only basis the request received from purchaser",1
435,atm pin change,"No, the ATM PIN cannot be changed.",1
436,need mn bank account purchase mn bank giftplus card,"No, you dont need to have an M&N  Bank account to purchase a Giftplus card. Simply walk into any M&N  Bank branch in India, submit your KYC documents and purchase an M&N  Bank Giftplus card over the counter.Mode of payment : Cheque/DD",1
437,transaction use card,"Yes, the card cannot be used to withdraw cash. It can only be used for POS transactions. Note: The Bank reserves the right to charge the Cardholder for any unauthorized amounts.",1
438,mn bank giftplus card,M&N  Bank's GiftPlus card is a magnetic strip based prepaid card brought to you in partnership with VISA,1
439,soon foodplus card,FoodPlus card is a personalized VISA Card and the TAT for receiving a personalized card is 7 working days.,1
440,able transfer money food plus card account account,"Food Plus card is a corporate card, any instruction with regards to load / reload and BT in the card can be done only on the basis of Corporate Instructions to the Bank. Individual Cardholder requests cannot be Processed.",1
441,happen pin forget,The cardholder should call PhoneBanking and ask for a reissuance. Remember that the PIN will be delivered to the purchaser's address.,1
442,mn bank foodplus card,It is an electronic VISA prepaid card issued to corporate organizations.,1
443,need know mn bank foodplus card,The M&N  Bank FoodPlus Card is an electronic prepaid card designed for meal allowances.,1
444,use card withdraw cash,"No, it cannot be used for cash withdrawls at ATM.",1
445,loadreload foodplus card,Your FoodPlus card can be loaded/reloaded only basis the instructions received from your employer.,1
446,load limit,"Card balances cannot be more than Rs.10,000/-* at any given point of time, additionally, the cumulative amount of load/reload also cannot exceed Rs.10,000/-* in a month",1
447,usage limit,"Rs 10,000 per transaction for cash withdrawals No usage limit on POS usage",1
448,soon moneyplus card,MoneyPlus card is a personalized VISA Card and the TAT for receiving a personalized card is 7 working days.,1
